RESULT	FILE	OLD	NEW	SOURCE	DETAIL
UPGRADED	Adorn Lyrics by Miguel.mp3	192s	192s	YouTube	Miguel - Adorn (Lyrics)
UPGRADED	Ambiance_For_Days_-_tco_KLICKAUD.mp3	93s	93s	SoundCloud	Ambiance For Days - tco
UPGRADED	Bad Bunny - Me Porto Bonito (Lyrics  Letra) ft. Chencho Corleone.mp3	179s	178s	YouTube	Bad Bunny - Me Porto Bonito (Lyrics / Letra) ft. Chencho Corleone
UPGRADED	Bring It Back (NOLA BOUNCE).mp3	119s	119s	SoundCloud	Bring It Back (Nola Bounce)
SKIP	Bryson Tiller - Don't.mp3	-	-	-	already had art
UPGRADED	Childish GambinoRedbone Official Audio.mp3	326s	325s	YouTube	Childish Gambino - Redbone (Lyrics)
UPGRADED	Cinderella Mac Miller feat Ty Dolla $ign.mp3	482s	481s	YouTube	Cinderella - Mac Miller (Lyrics) ft. Ty Dolla $ign
UPGRADED	Coconut Mall Mario Kart Wii OST.mp3	141s	141s	SoundCloud	Coconut Mall - Mario Kart Wii
UPGRADED	Decode - Paramore (Lyrics).mp3	250s	250s	YouTube	Decode - Paramore (Lyrics) 🎵
UPGRADED	Disparate Youth - Santigold.mp3	239s	239s	YouTube	Santigold - Disparate Youth (Official Music Video)
UPGRADED	DopeNation  Kakalika (Lyrics).mp3	181s	181s	YouTube	DopeNation – Kakalika (Official Lyrics Video)
UPGRADED	Drake Sexyy Red Cheetah Print.mp3	202s	202s	YouTube	Cheetah Print (Lyrics) — Drake & Sexyy Red
UPGRADED	El Alfa - 4K (LetraLyrics).mp3	261s	261s	YouTube	El Alfa - 4K (Letra/Lyrics)
UPGRADED	El Perdedor - YouTube to MP3.mp3	215s	214s	YouTube	Aventura - El Perdedor (Letra)
UPGRADED	Evanescence - Sweet Sacrifice (Audio).mp3	180s	180s	YouTube	Evanescence- Sweet sacrifice lyrics
UPGRADED	Frank Ocean Diary Full Song.mp3	125s	125s	YouTube	Frank Ocean - Diary (Full Song)
UPGRADED	Future - Hard To Choose One (Audio).mp3	195s	195s	YouTube	Future - Hard To Choose One (Lyrics)
UPGRADED	Hector El Father El Telefono.mp3	235s	235s	YouTube	Héctor "El Father", Wisin & Yandel - El Teléfono (Visualizer)
UPGRADED	JS x YD - Rockstar (Official Video).mp3	220s	220s	SoundCloud	JS x YD - Rockstar
UPGRADED	Jackson 5 - Who's Lovin' You (Lyric Video).mp3	240s	240s	YouTube	Jackson 5 - Who's Lovin' You (Lyric Video)
UPGRADED	Ken-Y Down.mp3	249s	249s	YouTube	R.K.M, Ken-Y - Down
UPGRADED	Liberian Girl Nola Bounce Remix.mp3	65s	65s	YouTube	Michael Jackson- Liberian Girl [Nola Bounce Remix]
UPGRADED	Liberian_Girl_KLICKAUD.mp3	899s	899s	SoundCloud	Liberian Girl
UPGRADED	Lil M.U. Top Of Cars Official Music Video.mp3	134s	134s	YouTube	Lil M.U. - Top Of Cars (Official Music Video)
UPGRADED	NOLA Bounce Remix.mp3	205s	205s	SoundCloud	Outstanding (NOLA BOUNCE REMIX) [PROD VIP]
UPGRADED	Paramore - All I Wanted (Official Audio).mp3	225s	225s	YouTube	Paramore - All I Wanted Was You (Lyrics)
UPGRADED	Paramore - Fast In My Car (Official Audio).mp3	222s	221s	YouTube	Paramore - Fast in My Car - Lyrics
UPGRADED	PinkPantheress Illegal Seventeen.mp3	167s	165s	YouTube	PinkPantheress ft. SEVENTEEN (세븐틴) - Illegal [SUB ESPAÑOL + LYRICS]
UPGRADED	Pretty Girl Rock Keri Hilson.mp3	253s	253s	YouTube	"Pretty Girl Rock" LYRICS.....Keri Hilson
ART-ONLY	Se Encendió el Beeper.mp3	202s	202s	-	no duration match; original audio kept
UPGRADED	Steve Lacy - The Feeling.mp3	275s	276s	YouTube	Steve Lacy - the feeling (Lyrics)
UPGRADED	Super Shy.mp3	154s	154s	YouTube	NewJeans 'Super Shy' Lyrics (뉴진스 Super Shy 가사) (Color Coded Lyrics)
UPGRADED	Tevin Campbell Can We Talk Bounce Remix.mp3	212s	212s	SoundCloud	08 Tevin Campbell - Can We Talk BounceMix by BlaqNmilD.mp3
UPGRADED	Tony Vega - Ella (Audio Oficial).mp3	301s	301s	YouTube	Tony Vega - Ella (Audio Oficial)
UPGRADED	VENTY4 x YOMEL EL MELOSO - PIKETEE REMIX (Video Oficial).mp3	115s	115s	YouTube	VENTY4 x YOMEL EL MELOSO - PIKETEE REMIX (Video Oficial)
UPGRADED	WHATS_YOUR_FANTASY_JERSEY_CLUB_-_J_NICE_KLICKAUD.mp3	76s	76s	SoundCloud	WHAT'S YOUR FANTASY (JERSEY CLUB) - J NICE
UPGRADED	Watagatapitusberry Official Video - 3Patine.mp3	220s	220s	YouTube	Watagatapitusberry Official Video - 3Patine
UPGRADED	Whatcha Say Jason Derulo.mp3	222s	221s	YouTube	Jason Derulo - Whatcha Say (Lyrics)
UPGRADED	Yung Miami  Spend Dat (Lyrics).mp3	232s	232s	YouTube	Yung Miami – Spend Dat (Lyrics)
UPGRADED	Ghetto Love Story Performance.mp3	182s	182s	YouTube	BabyChiefDoIt - Ghetto Love Story | From The Block Performance 🎙
UPGRADED	I Wayne Can't Satisfy Her.mp3	210s	210s	YouTube	I Wayne "Can't Satisfy Her" | On The Radar Performance
